title,url,score,author,comments,scraped_at
I turned a $80 RK3562 Android tablet into a Debian Linux workstation,https://github.com/tech4bot/rk3562deb,79,tech4bot,38,2026-05-17T16:50:39.704352+00:00
I don't think AI will make your processes go faster,https://frederickvanbrabant.com/blog/2026-05-15-i-dont-think-ai-will-make-your-processes-go-faster/,276,TheEdonian,221,2026-05-17T16:50:39.704825+00:00
"Security researcher says Microsoft built a Bitlocker backdoor, releases exploit",https://www.techspot.com/news/112410-security-researcher-microsoft-secretly-built-backdoor-bitlocker-releases.html,270,nolok,125,2026-05-17T16:50:39.705212+00:00
"Native all the way, until you need text",https://justsitandgrin.im/posts/native-all-the-way-until-you-need-text/,252,dive,168,2026-05-17T16:50:39.705599+00:00
Every AI Subscription Is a Ticking Time Bomb for Enterprise,https://www.thestateofbrand.com/news/ai-subscription-time-bomb,232,mooreds,188,2026-05-17T16:50:39.705964+00:00
Prolog Basics Explained with Pokémon,https://unplannedobsolescence.com/blog/prolog-basics-pokemon/,127,birdculture,17,2026-05-17T16:50:39.706255+00:00
Hindenburg's Smoking Room,https://www.airships.net/hindenburg-smoking-room/,42,crescit_eundo,17,2026-05-17T16:50:39.706483+00:00
Scientists believe ibogaine can help veterans overcome PTSD,https://www.bbc.com/future/article/20260514-how-hallucinogenic-ibogaine-helps-veterans-overcome-ptsd,34,bushwart,25,2026-05-17T16:50:39.706691+00:00
AI is a technology not a product,https://daringfireball.net/2026/05/ai_is_technology_not_a_product,118,ch_sm,35,2026-05-17T16:50:39.706915+00:00
Apple Silicon costs more than OpenRouter,https://www.williamangel.net/blog/2026/05/17/offline-llm-energy-use.html,188,datadrivenangel,157,2026-05-17T16:50:39.707120+00:00
WHO Declares Ebola Outbreak a Global Health Emergency,https://www.nytimes.com/2026/05/17/world/africa/ebola-congo-uganda-who-public-health-emergency.html,156,zzzeek,77,2026-05-17T16:50:39.707321+00:00
High-Entropy Alloy,https://en.wikipedia.org/wiki/High-entropy_alloy,35,leonidasrup,3,2026-05-17T16:50:39.707542+00:00
Zerostack – A Unix-inspired coding agent written in pure Rust,https://crates.io/crates/zerostack/1.0.0,492,gidellav,269,2026-05-17T16:50:39.707748+00:00
CUDA Books,https://github.com/alternbits/awesome-cuda-books,35,dariubs,2,2026-05-17T16:50:39.707939+00:00
Agentic Trading with Safe Guardrails,https://github.com/ShurikenTrade/shuriken-skills,20,jgan0978,7,2026-05-17T16:50:39.708123+00:00
Mozilla to UK regulators: VPNs are essential privacy and security tools,https://blog.mozilla.org/netpolicy/2026/05/15/mozilla-to-uk-regulators-vpns-are-essential-privacy-and-security-tools-and-should-not-be-undermined/,467,WithinReason,209,2026-05-17T16:50:39.708306+00:00
How Diamonds Are Made,https://diamond.jaydip.me/,55,lemonberry,30,2026-05-17T16:50:39.708518+00:00
Legacy Update for Windows 8.1 for x64-based Systems,https://legacyupdate.net/download-center/download/51025/update-for-windows-8.1-x64-kb3132080,4,kristianp,0,2026-05-17T16:50:39.708701+00:00
A nicer voltmeter clock,https://lcamtuf.substack.com/p/a-nicer-voltmeter-clock,264,surprisetalk,32,2026-05-17T16:50:39.708883+00:00
Colossus: The Forbin Project,https://en.wikipedia.org/wiki/Colossus:_The_Forbin_Project,175,doener,57,2026-05-17T16:50:39.709066+00:00
Hosting a website on an 8-bit microcontroller,https://maurycyz.com/projects/mcusite/,189,zdw,16,2026-05-17T16:50:39.709268+00:00
"Moving away from Tailwind, and learning to structure my CSS",https://jvns.ca/blog/2026/05/15/moving-away-from-tailwind--and-learning-to-structure-my-css-/,620,mpweiher,349,2026-05-17T16:50:39.709512+00:00
OpenAI and Government of Malta partner to roll out ChatGPT Plus to all citizens,https://openai.com/index/malta-chatgpt-plus-partnership/,271,bookofjoe,301,2026-05-17T16:50:39.709769+00:00
Mado: Fast Markdown linter written in Rust,https://github.com/akiomik/mado,33,nateb2022,2,2026-05-17T16:50:39.709950+00:00
"SANA-WM, a 2.6B open-source world model for 1-minute 720p video",https://nvlabs.github.io/Sana/WM/,378,mjgil,144,2026-05-17T16:50:39.710136+00:00
We've made the world too complicated,https://user8.bearblog.dev/the-world-is-too-complicated/,392,James72689,373,2026-05-17T16:50:39.710315+00:00
Roman Letters,https://romanletters.org/,79,diodorus,10,2026-05-17T16:50:39.710544+00:00
Illusions of understanding in the sciences,https://link.springer.com/article/10.1007/s42113-026-00271-1,87,sebg,43,2026-05-17T16:50:39.710729+00:00
Twilight of the Velocipede: Typesetting Races Before the Age of Linotype,https://publicdomainreview.org/essay/twilight-of-the-velocipede/,39,benbreen,1,2026-05-17T16:50:39.710910+00:00
Playing Atari ST Music on the Amiga with Zero CPU,https://arnaud-carre.github.io/2026-05-15-ym-fast-emu/,88,z303,32,2026-05-17T16:50:39.711090+00:00
